ID,标签,标题                            ,问题                                                                                                                                                 ,答案                                                                                                                                                                           ,省份 ,年份
9 ,0 ,广东考生，关于投档                     ,您好，我是广东省播音主持专业考生，已取得贵校的专业合格证，请问贵校的投档人数就是计划招生人数吗？如果投档到贵校，还有可能被退档吗？谢谢                                                                                ,同学你好，只要获得我校专业合格证，又填报了我校的考生都会投档至我校，当投档人数大于计划招生数时，会存在退档情况。所以请慎重报考。                                                                                                             ,广东 ,2020
10,0 ,广播电视编导统考                      ,我的广东广播电视编导统考份是231加上文化的综合分是291排名为453报考贵校有希望吗                                                                                                        ,同学你好！广东省广播电视编导专业按考生投档综合分的排位情况从高到低择优录取，去年我校广播电视编导专业录取的投档综合分最低分为504。你可根据自身实际情况考虑是否填报我校。欢迎报考广财！                                                                                 ,广东 ,2020
11,0 ,录取                            ,您好，请问湖南文科生550分，省排19986位被贵校金融学专业录取希望大吗？                                                                                                             ,同学你好！我校2019年在湖南文科招生2人，最低分568，您可以参照这个分数看看最低排位。今年我校在湖南文科招生计划为8人。具体情况您可以进“广东财经大学招生办公室”的官网查询。欢迎报考广东财经大学！                                                                         ,湖南 ,2020
12,0 ,志愿填报指南上有俩个广告学诶！               ,志愿填报指南书上，贵校有俩个广告学诶，一个是代码046，一个代码125....                                                                                                            ,我校有两个广告学。一个是由艺术与设计学院办学，四年均在广州校区就读。另一个是由文化创意与旅游学院办学，四年均在佛山校区就读。                                                                                                               ,广东 ,2020
13,0 ,山西文科录取                        ,山西文科515会计学有机会录取吗，贵校对山西招生停留在2015年，今年再次推出招生计划，因此不太了解录取情况                                                                                             ,同学你好，由于我校前两年在山西省都没有招收文理科类考生，所以没有往年数据可供参考，你可结合自身排位和情况考虑是否报考我校。若贵省是平行志愿投档，可尝试填报我校。会计学是我们的热门专业。欢迎报考广财。                                                                          ,山西 ,2020
14,0 ,录取                            ,请问湖南文科550分被管理专业录取的希望大吗                                                                                                                             ,去年我校在湖南文科招生2人，最低分数为568，建议您将去年568分的排位与自己的排位做个比较。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校。                                                                                                    ,湖南 ,2020
15,0 ,录取                            ,老师您好，我是西藏汉族文史考生，分数514位次477，请问被贵校录取的可能性大吗                                                                                                           ,同学你好！去年我校西藏文科汉族招生3人，最低录取分数489，平均分501.67。建议您将去年489分的排位与自己的排位做个比较。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校。                                                                                   ,西藏 ,2020
16,0 ,报考专业                          ,广东文科生546排位15671能报考广财的广告学吗，几率大吗                                                                                                                     ,同学你好，我校去年录取的广告学文科最低分为554，最低排位为15658，今年广告学有扩招，所以你的机会还是挺大的。欢迎报考广财。                                                                                                             ,广东 ,2020
17,0 ,“计算机科学与技术”专业带不带“创新实验班”的区别     ,“计算机科学与技术”专业有两个，其中一个带有“创新实验班”，另一个不带，请问这两者之间有什么区别？                                                                                                  ,同学你好，计算机科学与技术（创新实验班）专业为人工智能方向。计算机科学与技术专业以计算机应用为主导，培养计算机应用型人才为目标。详情请咨询我校信息学院招生办：020-84096901欢迎报考广财。                                                                           ,广东 ,2020
18,0 ,录取                            ,广东文科26085能报考吗？？                                                                                                                                    ,同学你好！我校建议广东文科2w3左右的考生可以大胆填报我校。                                                                                                                                               ,广东 ,2020
19,0 ,投档                            ,广东省理科生84031有机会录取吗                                                                                                                                  ,同学你好！我校去年在广东省理科录取最低分为507，最低排位为63764，今年有所扩招，个人建议广东理科70000左右的考生可大胆填报我校，你可根据自身实际情况考虑是否填报我校。欢迎报考广财！                                                                              ,广东 ,2020
5 ,0 ,想上贵校                          ,老师您好！山西文科考生532分，排名7700多名，想报贵校的法学专业，有希望录取吗？谢谢                                                                                                       ,同学你好，由于我校前两年在山西省都没有招收文理科类考生，所以没有往年数据可供参考，你可结合自身排位和情况考虑是否报考我校。法学专业为我校热门专业。欢迎报考广东财经大学。                                                                                         ,山西 ,2020
6 ,0 ,河北美术生                         ,老师您好专业235.75文化388综合528.9可以报考贵校吗？                                                                                                                   ,你好同学！今年我校在河北省无美术生的招生计划。                                                                                                                                                      ,河北 ,2020
7 ,0 ,广佛考生                          ,老师：您好！高考理科分数刚好达到高优分数线，挑选自己喜欢并且较为冷门的专业，服从调剂，如果还不到贵校最低录取会滑档吗？                                                                                        ,如果您达不到我校的最低录取线是不会被我校提档的，那也就不存在被我校退档这一现象。欢迎报考广东财经大学！                                                                                                                          ,广东 ,2020
8 ,0 ,投档                            ,广东艺术生文化490分，联考212分，排位3800，可以报考吗？                                                                                                                   ,同学您好！由于您未说明自己属于哪类艺术生，我们也无法给您建议。有关去年我校各类艺术生的录取数据在以下网址，您可自行前往查看，根据自身情况考虑是否填报我校。网址：http://zsb.gdufe.edu.cn/2019/0930/c3899a113810/page.htm欢迎报考广财！                               ,广东 ,2020
9 ,0 ,录取                            ,手上有一点陈旧性伤疤影响师范，新闻类专业录取吗                                                                                                                            ,同学你好！我校没有师范类专业。手上陈旧性伤疤不影响新闻类专业录取。具体体检要求请查看教育部卫生部中国残疾人联合会关于印发《普通高等学校招生体检工作指导意见》的通知或查阅我校招办网站http://zsb.gdufe.edu.cn/2019/0117/c5854a108175/page.htm欢迎报考广财大！                    ,广东 ,2020
10,0 ,录取                            ,文科537排位19696，录取几率大吗？能否录取到较热门的专业                                                                                                                    ,去年我校广东文科最低排位为18657，今年广东文科扩招652人，您的机会还是很大的。建议您填报我校专业志愿时“冷热搭配”。                                                                                                                ,广东 ,2020
11,0 ,转专业                           ,我是河北考生，若果被调剂专业，录取后可以转专业吗                                                                                                                           ,可以转专业。转专业首先需要大一学年的平均绩点达到本专业的前百分之四十，其次绩点越高转专业的可能性和成功率越大，最后还要看看您想转入的专业今年是否招生。                                                                                                  ,河北 ,2020
12,0 ,金融学两个代码的区别                    ,老师您好！请问金融学两个校区培养的专业方向及其它方面有什么区别？谢谢！                                                                                                                ,同学你好，我校金融学有院校代码的区别：10592院校代码的是普通类金融学专业，70592院校代码的金融学为中外合作办学专业（此专业需出国）。也有专业代码的区别：其中，10592代码的金融学有两个专业代码，其中一个专业代码的金融学为佛山全学段专业，招生专业目录上有标明办学地点为佛山校区。...[详细]                       ,广东 ,2020
13,0 ,播音录取                          ,综合分485.0675，文化分446，河北省联考专业分153.66，播音主持专业可以报考吗                                                                                                      ,同学你好！我校去年在河北省录取的播音与主持艺术专业考生中最低综合分为311.04，其中文化最低分为420，校考最低分为235.4，你可根据自身实际情况和我校今年的招生计划考虑是否填报我校。欢迎报考广东财经大学！                                                                    ,河北 ,2020
14,0 ,宿舍                            ,请问一下住宿条件如何呢？是四人间还是六人间呢                                                                                                                             ,我校所有的宿舍都是4人间，都有空调，都有独立卫浴，都是上床下桌。                                                                                                                                             ,广东 ,2020
15,0 ,能否录取？？？                       ,广东省广电编专业224分，文化分449分，综合排名440名，有希望被贵校录取吗？感谢回答谢谢！                                                                                                    ,去年广东省广播与电视编导投档综合分的最低分为504，您可将这个分数去年的排位与自己的排位做个比较。                                                                                                                            ,广东 ,2020
16,0 ,专业与身高                         ,请问：会展经济与管理、酒店管理专业，有身高要求吗？                                                                                                                          ,同学你好！我校对此没有要求。欢迎报考广东财经大学！                                                                                                                                                    ,四川 ,2020
17,0 ,专业录取                          ,山西考生文史类532法学能被录取吗?谢谢！                                                                                                                              ,我校去年在山西没有普通文理科的招生计划，所以这边没有数据可以供您参考。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校。                                                                                                                ,山西 ,2020
18,0 ,全日制本科                         ,麻烦问一下全日制专升本的那种填资料在哪填写？                                                                                                                             ,这个您可以去咨询我校的继续教育学院。联系方式：020-84096684或020-84096849                                                                                                                             ,贵州 ,2020
19,0 ,投档                            ,广东艺术生文化490分，联考212分，排位3800，可以报考吗？                                                                                                                   ,同学您好！由于您未说明自己属于哪类艺术生，我们也无法给您建议。有关去年我校各类艺术生的录取数据在以下网址，您可自行前往查看，根据自身情况考虑是否填报我校。网址：http://zsb.gdufe.edu.cn/2019/0930/c3899a113810/page.htm欢迎报考广东财经大学！                           ,广东 ,2020
5 ,0 ,服从调剂，是否只要达到贵校任何专业的最低分数就能投档？   ,如果填报了服从调剂，是否只要达到贵校任何专业的最低分数就能投档，即使没有填报该最低分数专业也行？谢谢                                                                                                 ,同学你好！投档分数线是以所有提档考生中排名最后一位的分数而定。                                                                                                                                              ,广东 ,2020
6 ,0 ,考生                            ,陕西文科490能报贵校吗？                                                                                                                                      ,同学你好!只要同学的分数达到我们学校在本省最低控制分数线上就能填报我们学校哦！欢迎报考广东财经大学！                                                                                                                           ,陕西 ,2020
7 ,0 ,投档比例                          ,老师您好，河北播音考生，请问贵校的投档比例是多少，有没有被退档的风险？如果退档，那退档的原因有哪些？录取是按照录取原则录取，还是按照投档的人录取呢？                                                                         ,同学你好，河北考生的投档比例是由本省考试院规定的哦。如果投档人数超过计划人数是有可能被退档的哦！                                                                                                                             ,河北 ,2020
8 ,0 ,收费                            ,请问贵校计算机科学与技术或大数据专业的收费标准如何？                                                                                                                         ,同学你好！计算机科学与技术的学费标准是5710元/年。大数据管理与应用的学费标准是5050元/年。欢迎报考广东财经大学！                                                                                                                 ,广东 ,2020
9 ,0 ,视力                            ,请问近视超800度可以就读贵校法学吗？                                                                                                                                ,同学你好！我校法学专业对眼部是否近视不做要求哦！                                                                                                                                                     ,广东 ,2020
10,0 ,录取                            ,你好！想咨询广东文科考生538录取与自主选专业几率大吗？谢谢！                                                                                                                    ,同学你好！如果同学的分数达到了本省本科批次的最低控制分数线上，就可以填报我们学校具体的一个录取情况，要根据当年的热度来看哦！欢迎报考广东财经大学！                                                                                                    ,广东 ,2020
11,0 ,录取                            ,您好，我是广东省考生，想报考贵校广播电视编导专业，我综合分522，省排位218，被贵校录取希望大吗？                                                                                                 ,同学你好！去年的投档最低综合分：504，最高是523。同学可以对应看一下去年的排位再与自己的排位进行对比，理性报考哈!欢迎报考广东财经大学！                                                                                                       ,广东 ,2020
12,0 ,咨询急！！                         ,你好我是江苏理科考生341BC排名92855请问报考该校有希望吗                                                                                                                   ,同学你好，如果你达到了我们学校在你们省的报考批次的最低分数线就可以报考，至于能不能被录取要今年的报考热度和具体情况。欢迎报考广东财经大学！                                                                                                        ,江苏 ,2020
13,0 ,转专业                           ,贵校转专业的规则是什么                                                                                                                                        ,同学你好！我们学校专业二次选择遵循的原则是：志愿优先，再根据学分绩点择优录取！欢迎报考广东财经大学！                                                                                                                           ,广东 ,2020
14,0 ,能否录取                          ,"您好，广东考生理科531，排名73040，请问能被贵校录取吗？服从专业调剂,谢谢！"                                                                                                        ,同学你好，有希望的，大胆填报！具体最终的录取情况要今年最终的分数线哈！                                                                                                                                          ,广东 ,2020
15,0 ,广东文科录取                        ,老师你好，我是广东文科考生，排位19004，总分538，有机会进入贵校吗，还能读什么专业吗？                                                                                                     ,同学你好，有希望的！尽量在结合自己兴趣的基础上选择不那么热门的专业哦~                                                                                                                                          ,广东 ,2020
16,0 ,扩招                            ,无法查知贵校今年招生情况，今年贵校是扩招还是缩招（广东文科本科）                                                                                                                   ,同学你好！广东省文科今年扩招了652个名额！                                                                                                                                                       ,广东 ,2020
17,0 ,报考                            ,四川考生603分，排名24508，能进贵校吗？专业如何?                                                                                                                       ,同学你好，如果同学的分数达到了我们学校在你们省报考批次的最低分数线就可以填报！最终的录取结果要看今年的报考热度和具体分数哦！欢迎报考广东财经大学！                                                                                                    ,四川 ,2020
18,0 ,校区                            ,国际学院在哪个校区                                                                                                                                          ,国际学院主要是招收出国的学生，且对高考分数要求不高。我校的国际商学院是四年都在佛山校区就读的。                                                                                                                              ,广东 ,2020
19,0 ,中外合作办学专业                      ,毕业是否有本校毕业证                                                                                                                                         ,同学你好！毕业后会给广东财经大学的毕业证和学位证。                                                                                                                                                    ,广东 ,2020
5 ,0 ,税收学                           ,老师您好，我想问下就是税收学成出来后，是要考取公务员成功后才能进入海关等政府部门工作吗？                                                                                                       ,同学你好！要进入这些政府部门工作是需要考取公务员的哦！                                                                                                                                                  ,广东 ,2020
6 ,0 ,录取                            ,重庆理科生，498分，位次43000，能报贵校二本吗？是冲还是稳？                                                                                                                  ,同学你好！去年我校在重庆理科招生12人，最低分为527；今年我校在重庆理科招生18人。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校！欢迎报考广财！                                                                                                 ,重庆 ,2020
7 ,0 ,关于录取                          ,老师，您好，广东理科531分，排名72819，录取机会大吗？谢谢！                                                                                                                  ,同学你好！有希望的，欢迎报考广东财经大学！                                                                                                                                                        ,广东 ,2020
8 ,0 ,学校专业                          ,老师您好，我想问下财务管理，工商管理还有财政学都需要学高数吗？如果要的话要学很多吗?作为文科生很担心这个，谢谢老师了                                                                                         ,同学你好！这些课程会有涉及到数学方面的课程如：微积分、线性代数等。不用担心，只要认真学习就不怕通不过考试哦！欢迎报考广东财经大学！                                                                                                            ,广东 ,2020
9 ,0 ,财政学                           ,财政学能做财务管理方面的工作吗？以后工作能做什么                                                                                                                           ,同学你好！财政学专业学生就业方向主要有以下：财政、税务、海关、劳动和社会保障、公安及其他经济管理部门、企事业单位、社会中介机构、金融等领域从事相业务和管理工作，在教学与科研部门从事教学和科研工作。具体内容可前往该网址查看：http://zsb.gdufe.edu.cn/2017/0926/c3895a78661/pa...[详细]       ,广东 ,2020
10,0 ,山西文科录取                        ,山西文科515，会计学，有机会录取吗                                                                                                                                 ,同学你好！只要你的分数上了咱们学校在本省的录取批次的投档线就可以大胆填报！                                                                                                                                        ,山西 ,2020
11,0 ,广佛考生                          ,老师：您好！今年高考理科分数刚好达到高优分数线，可以填报贵校哪个专业呢？                                                                                                               ,同学好！我们学校专业分配遵循“志愿优先”的原则，请考生根据往年的专业志愿排位情况，挑选自己喜欢并且较为冷门的专业，这样录取到自己填报的专业希望较大哦~                                                                                                  ,广东 ,2020
12,0 ,中外合作                          ,老师您好，我是山西考生503分，53229名，报贵校的中外合作专业有希望吗？这几个专业是几十几的模式，谢谢                                                                                              ,同学你好，我们中外合作办学专业只招收广东省考生哦！                                                                                                                                                    ,山西 ,2020
13,0 ,专业极差                          ,想询问一下贵校是否就录取实行专业极差？                                                                                                                                ,同学你好！我校按“专业志愿优先，同一专业志愿高考总分（排位）高者优先”的原则，不设置专业级差。欢迎报考广财！                                                                                                                       ,云南 ,2020
14,0 ,中外合作                          ,我想问一下如果我志愿填了普通招生的五个专业+中外合作225的税收学，然后选择了服从调剂，是否会被调剂到其它中外合作的专业                                                                                       ,同学你好！10592代码下的中外联合培养实验班我们只招收有专业志愿的学生，所以在您说的那种情况下，我校是不会把您调剂到其他的中外联合培养实验班的。欢迎报考广财！                                                                                             ,广东 ,2020
15,0 ,招生章程                          ,第二十七条“.....服从调剂但不符合计划有空额专业相关要求的，作退档处理。“中的”专业相关要求的”能说具体些吗？                                                                                          ,同学你好！具体专业要求您可以进“广东财经大学招生办公室”的“政策法规”的“体检政策”中查看。欢迎报考广财！                                                                                                                        ,河北 ,2020
16,0 ,分数                            ,本人理60176，可以报贵校什么专业呢                                                                                                                                ,同学你好！您的排位专业的选择面相对比较广。您可进“广东财经大学招生办公室”官网的“往年数据”中参照往年广东省理科各专业录取情况查看各专业的最低录取排位。欢迎报考广财！                                                                                          ,广东 ,2020
17,0 ,贵校中外合作办学                      ,贵校中外联合培养项目班和中外人才培养实验班是否可以选择不出国                                                                                                                     ,同学你好！原则上报考了项目班和实验班的同学不可以不出国。欢迎报考广财！                                                                                                                                          ,广东 ,2020
18,0 ,录取                            ,广西考生今年高考分数为495，裸分为475，如果报考贵校录取几率大吗                                                                                                                 ,同学你好！我校近几年在广西都没有招生计划，今年我校计划在广西理科招生4人。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校！欢迎报考广财！                                                                                                       ,广西 ,2020
19,0 ,河北文科生                         ,河北文科576分8300名报考希望大吗？入校后是否可以转专业                                                                                                                     ,同学你好！我校去年在河北文科招生3人，最低分为575分；今年我校计划在河北文科招生9人。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校！我校可以申请转专业。欢迎报考广财！                                                                                      ,河北 ,2020
5 ,0 ,金融                            ,您好。我想请问一下贵校广州和佛山校区的金融学分别侧重于哪一方面？考研的话录取率是否一样？课程和师资是否有差别？                                                                                            ,我校有两个金融学，分别由金融学院和国际商学院办学。金融学院的金融学是大一大二在佛山三水，大三大四在广州就读。2020年理科志愿书的编码为219，去年该专业的最低分为524，最低排位为48062。国际商学院的金融学是四年都在佛山校区就读，2020年理科志愿书的编码为701，去年该专业的最低分为...[详细]                    ,广东 ,2020
6 ,0 ,录取问题                          ,河北考生如果过了提档线但是分不如其他的同学高，服从调剂了还会有被退档可能吗（由于贵校在河北只招收4个专业，若均不够但是被提档，服从调剂还会不会被退档）                                                                        ,同学你好！只要被我校提档了除非有身体或思想政治方面的问题原则上我们是不会退档的。欢迎报考广财！                                                                                                                              ,河北 ,2020
7 ,0 ,请问一下                          ,您好。请问一下四年都在佛山校区就读的人可不可以考研？和2+2有没有区别？                                                                                                               ,同学你好！佛山校区全学段可以考研，与2年佛山2年广州就读的没有区别。欢迎报考广财！                                                                                                                                    ,广东 ,2020
8 ,0 ,录取原则                          ,贵校在河北只招了4个专业，如果我4个专业均填报并且服从调剂，提档后还会有被退档的风险吗                                                                                                        ,同学你好！被我校提档除非有身体或思想政治方面的问题原则上我们是不会退档的。                                                                                                                                        ,河北 ,2020
9 ,0 ,创新实验班                         ,创新实验班与非创新实验有何区别？                                                                                                                                   ,同学你好，如果您咨询的是计算机科学与技术（创新实验班），这个创新实验班主要是人工智能方向，具体内容请前往该网址查看http://zsb.gdufe.edu.cn/2017/0926/c3895a78663/page.htm。欢迎报考广东财经大学。                                                  ,广东 ,2020
10,0 ,河北播音录取原则                      ,请问河北播音的考生，今年贵校的录取原则是什么？                                                                                                                            ,同学你好！播音与主持艺术专业在有相应专业统考（联考）的省份，高考文化课成绩及术科统考（联考）成绩均达到学校在生源所在省录取批次最低录取控制分数线且符合专业要求的基础上，投档至本校的考生，广东省外播音与主持艺术专业按综合分从高到低择优录取，播音与主持艺术专业综合分=高考文化...[详细]                              ,河北 ,2020
11,0 ,专业                            ,广东文科省排名17001能报商务英语专业吗                                                                                                                              ,同学你好，报这个专业都能报，最终能不能被录取是要看今年最终的分数线哦！                                                                                                                                          ,广东 ,2020
12,0 ,山东考生，外语专业                     ,老师您好，我是山东考生，女，选史地政，588分，排名36657，报贵校外语专业会有希望吗？谢谢您！                                                                                                  ,同学你好，由于今年山东省实行新高考，所以往年录取数据参考价值不大。你可以查看我们学校在你们省份是第几批次的招生，结合我们学校在你们省份的报考热度和你自己的情况仔细考虑，如果你们是平行志愿模式投档，可以大胆填报我校。欢迎报考广财。                                                           ,山东 ,2020
13,0 ,录取                            ,山东考生选课化生历522全省排名127520有没有可能被贵校的会计学专业录取                                                                                                             ,同学你好，由于今年山东省实行新高考，所以往年录取数据参考价值不大。会计学为我校热门专业，你可以查看我们学校在你们省份是第几批次的招生，结合我们学校在你们省份的报考热度和你自己的情况仔细考虑，如果你们是平行志愿模式投档，可以大胆填报我校。欢迎报考广财。                                                ,山东 ,2020
14,0 ,校区                            ,请问是所有专业都需要前两年待在佛山，后两年待在广州吗？没有专业是一直待在广州校区的吗？                                                                                                        ,同学你好！我校大部分专业是两年佛山，两年广州；外国语学院和艺术与设计学院的专业和广播电视编导、播音与主持艺术是四年都在广州校区就读。欢迎报考广财！                                                                                                    ,广东 ,2020
15,0 ,老师好吉林文科515                    ,排位5689左右想问一下有被录取的几率么？                                                                                                                              ,同学你好！近几年我校在吉林都没有招生计划，所以我们这边也没有相关数据供您参考。今年计划在吉林文科招生2人。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校！欢迎报考广财！                                                                                       ,吉林 ,2020
16,0 ,专业                            ,本人理科生，分数545排名59291，有机会进入贵校的软件工程专业吗？或者计算机科学与技术？简单来说就是计算机类专业，谢谢。                                                                                     ,同学你好！去年广东理科软件工程的最低排位56138，计算机科学与技术的最低排位56050，计算机科学与技术（创新实验班）最低排位58744，且今年软件工程和计算机科学与技术（创新实验班）分别扩招9人、44人。综上，您的机会还是很大的，建议报考。                                                   ,广东 ,2020
17,0 ,老师好吉林文科515                    ,排位5689有可能被贵校录取么？去年没有可参考成绩想咨询一下                                                                                                                     ,同学你好！近几年我校在吉林都没有招生计划，所以我们这边也没有相关数据供您参考。今年计划在吉林文科招生2人。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校！欢迎报考广财！                                                                                       ,吉林 ,2020
18,0 ,录取机会                          ,文科20286名次，录取机会多大                                                                                                                                   ,同学你好！我校去年文科录取的最低分为549，最低排位18657。我校文科今年扩招652人。个人建议文科排名23000以内的考生可大胆填报我校。以上数据均为2019年数据，仅供参考。你可结合数据和自身情况考虑如何填报我校。欢迎报考广东财经大学。                                                    ,广东 ,2020
19,0 ,招生                            ,广东文科排名17001能进贵校商务英语专业吗                                                                                                                             ,"同学你好，我校去年商务英语专业录取的最低分为553,最低排位16552。以上数据均为2019年数据，仅供参考。你可结合数据和自身情况考虑如何填报我校。欢迎报考广东财经大学。"                                                                                     ,广东 ,2020
5 ,0 ,专业                            ,你好请问贵校今年面向贵州开放那些专业？                                                                                                                                ,同学你好，我校在贵州省的具体招生专业和计划请查看贵省2020年招生专业目录。欢迎报考广东财经大学！                                                                                                                            ,贵州 ,2020
6 ,0 ,吉林文科515排5689能上贵校么             ,2016年后好像再未招生                                                                                                                                       ,同学你好！近几年我校在吉林都没有招生计划，所以我们这边也没有相关数据供您参考。今年计划在吉林文科招生2人。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校！欢迎报考广财！                                                                                       ,吉林 ,2020
7 ,0 ,开学                            ,请问一下现在确定开学时间了吗？                                                                                                                                    ,同学你好！现在暂无确切开学时间，具体通知请查看录取通知书和相关官方信息。欢迎报考广东财经大学！                                                                                                                              ,广东 ,2020
8 ,0 ,校区                            ,请问一下法学实验班广州校区是什么意思呢？实验班跟一般的班级有什么区别吗？                                                                                                               ,我们有普通的法学专业以及（中外联合培养项目的法学专业）。中外项目的法学专业大一大二大三是在广州校区就读，第四年在澳大利亚的西澳大学就读。                                                                                                         ,广东 ,2020
9 ,0 ,。                             ,地方专项计划是广东省内农村户口就可以了是吗？                                                                                                                             ,同学你好！填报地方专项需提前申请，获得资格后才可报考。具体内容请前往广东省教育考试院查看。欢迎报考广东财经大学！                                                                                                                     ,广东 ,2020
10,0 ,有关专业与录取                       ,我是一名山西理工考生，女，499分，位次为55959，能被你校金融学专业录取吗？                                                                                                           ,同学你好！近几年我校在山西都没有招生计划，我们没有数据可以供您参考。今年我校在山西理科招生5人，我们建议考生在平行志愿的专业志愿填报模式下大胆填报我校。                                                                                                 ,山西 ,2020
11,0 ,广东考生                          ,请问文科540排名18160广东报考贵校可能性有多大？                                                                                                                        ,同学你好！去年我校广东文科最低排位18657，今年我校广东文科扩招652人。我们建议广东省文科排名在23000名以内的考生在平行志愿的志愿填报模式下大胆填报我校！欢迎报考广财。                                                                                     ,广东 ,2020
12,0 ,录取                            ,你好贵州文科540分能报贵校吗                                                                                                                                    ,同学你好！去年我校在贵州省文科录取最低分数为563。以上数据均为2019年数据，仅供参考。你可结合数据和自身情况考虑如何填报我校。欢迎报考广东财经大学。                                                                                                 ,贵州 ,2020
